日期 最高气温 最低气温 天气 风向 风力
2018-08-01 17 0 中雨 无持续风向 小于3级
2018-08-02 17 0 阵雨 无持续风向 小于3级
2018-08-03 16 0 阵雨 无持续风向 小于3级
2018-08-04 15 0 多云 无持续风向 小于3级
2018-08-05 14 0 晴 无持续风向 小于3级
2018-08-06 17 0 雷阵雨 无持续风向 小于3级
2018-08-07 16 0 多云 无持续风向 小于3级
2018-08-08 27 16 多云 无持续风向 小于3级
2018-08-09 15 0 阵雨 无持续风向 小于3级
2018-08-10 15 0 多云 无持续风向 小于3级
2018-08-11 15 0 小雨 无持续风向 小于3级
2018-08-12 14 0 小雨 无持续风向 小于3级
2018-08-13 13 0 晴 无持续风向 小于3级
2018-08-14 15 0 多云 微风 小于3级
2018-08-15 16 0 多云 无持续风向 小于3级
2018-08-16 25 15 小雨 东风 小于3级
2018-08-17 14 0 阵雨 无持续风向 小于3级
2018-08-18 13 0 多云 微风 小于3级
2018-08-19 16 0 多云 微风 小于3级
2018-08-20 15 0 中雨 无持续风向 小于3级
2018-08-21 12 0 晴 无持续风向 小于3级
2018-08-22 11 0 晴 无持续风向 小于3级
2018-08-23 14 0 多云 微风 小于3级
2018-08-24 15 0 大雨 微风 小于3级
2018-08-25 13 0 多云 无持续风向 小于3级
2018-08-26 15 0 小雨 无持续风向 小于3级
2018-08-27 15 0 多云 无持续风向 小于3级
2018-08-28 16 0 多云 无持续风向 小于3级
2018-08-29 17 0 多云 无持续风向 小于3级
2018-08-30 17 0 小雨 无持续风向 小于3级
2018-08-31 25 16 阵雨 无持续风向 小于3级
